User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
Q6S8J3	POTEE	352 / 411	12.9	252
P68032	ACTC1	354 / 411	20.2	357
P68133	ACTA1	354 / 411	20.1	357
P60709	ACTB	363 / 411	36.4	716
P63261	ACTG1	363 / 411	36.3	716
Q9BYX7	Invalid identifier / gene not available			
P62736	ACTA2	351 / 411	18.6	294
P63267	ACTG2	351 / 411	18.5	293
Q9BQE3	TUBA1C	389 / 411	37	281
Q99615	DNAJC7	59 / 411	2.9	10
P82930	MRPS34	24 / 411	1.9	6
P35568	Invalid identifier / gene not available			
Q8WX94	Invalid identifier / gene not available			
P31948	STIP1	120 / 411	8.6	58
Q7Z3Y7	KRT28	287 / 411	10.7	227
Q7Z3Y8	KRT27	263 / 411	8.5	156
Q7Z3Z0	KRT25	263 / 411	8.2	156
P02533	KRT14	284 / 411	23.9	282
P0DMV8	Invalid identifier / gene not available			
P0DMV9	Invalid identifier / gene not available			
O00329	PIK3CD	1 / 411	1	1
P12236	SLC25A6	201 / 411	7	119
P05141	SLC25A5	223 / 411	7.1	58
P42336	PIK3CA	1 / 411	1	1
Q8WUY1	THEM6	4 / 411	1.8	3
Q6IE37	Invalid identifier / gene not available			
Q9UBL6	CPNE7	19 / 411	1.6	5
Q9HCH3	CPNE5	17 / 411	1.2	2
Q86YQ8	CPNE8	20 / 411	1.8	12
O95741	CPNE6	16 / 411	1.1	2
Q96A23	CPNE4	16 / 411	1.1	2
Q8IYJ1	CPNE9	17 / 411	1.2	2
Q96FN4	CPNE2	16 / 411	1.1	2
O75131	CPNE3	22 / 411	2.5	9
P49411	TUFM	139 / 411	8.6	53
P08581	Invalid identifier / gene not available			
P43246	MSH2	45 / 411	3	27
Q8NEG7	DENND6B	2 / 411	1	1
P62258	YWHAE	186 / 411	9.4	90
P31947	SFN	116 / 411	2.7	11
P61981	YWHAG	131 / 411	4.2	50
Q04917	YWHAH	117 / 411	3.1	20
P63104	YWHAZ	180 / 411	6	36
P27348	YWHAQ	153 / 411	4.3	91
Q92552	MRPS27	31 / 411	2.6	9
Q14451	GRB7	1 / 411	1	1
Q02978	SLC25A11	55 / 411	3.1	18
Q0VFZ6	Invalid identifier / gene not available			
Q07889	SOS1	1 / 411	1	1
Q07890	SOS2	1 / 411	1	1
P22681	CBL	2 / 411	1.5	2
Q05639	EEF1A2	343 / 411	13.4	175
P68104	EEF1A1	350 / 411	21.9	230
Q5VTE0	Invalid identifier / gene not available			
P52735	VAV2	1 / 411	1	1
Q4G1C9	Invalid identifier / gene not available			
P21860	Invalid identifier / gene not available			
Q8NFI3	ENGASE	2 / 411	1	1
Q14571	ITPR2	5 / 411	4.4	10
P42224	STAT1	23 / 411	4.7	19
Q75V66	Invalid identifier / gene not available			
P0CG48	UBC	233 / 411	6.5	90
P0CG47	UBB	233 / 411	6.5	90
P62979	RPS27A	248 / 411	6.5	90
P62987	UBA52	235 / 411	6.5	90
P29353	SHC1	9 / 411	1.6	3
Q7Z794	KRT77	325 / 411	7.2	163
Q86Y46	KRT73	124 / 411	4.4	33
P12035	KRT3	174 / 411	9.1	62
Q9NSB2	KRT84	146 / 411	3.4	20
Q7RTS7	KRT74	124 / 411	4.3	33
Q3SY84	KRT71	89 / 411	3.5	19
Q14CN4	KRT72	109 / 411	3.8	24
O95678	KRT75	276 / 411	9.5	80
Q5XKE5	KRT79	251 / 411	8.5	83
P05787	KRT8	237 / 411	16.7	528
P13647	KRT5	282 / 411	23.6	223
P08729	KRT7	155 / 411	8.1	146
Q06124	PTPN11	41 / 411	3.5	36
P17066	HSPA6	380 / 411	14.1	159
P48741	Invalid identifier / gene not available			
P53680	AP2S1	1 / 411	1	1
P69905	HBA2	42 / 411	2.2	8
P40763	STAT3	36 / 411	6	25
A6NK06	Invalid identifier / gene not available			
Q86WR7	PROSER2	1 / 411	1	1
P02768	ALB	167 / 411	9.9	93
P78527	PRKDC	175 / 411	22	175
P35527	KRT9	337 / 411	52.6	699
P04626	ERBB2	1 / 411	1	1
O00264	PGRMC1	40 / 411	1.6	4
P12235	SLC25A4	195 / 411	5.1	40
P43304	GPD2	3 / 411	2	4
Q8NDL9	Invalid identifier / gene not available			
P68371	TUBB4B	376 / 411	29.9	310
Q13885	TUBB2A	372 / 411	26.4	299
Q9BVA1	TUBB2B	372 / 411	26.6	301
Q13509	Invalid identifier / gene not available			
Q06830	PRDX1	253 / 411	7.9	45
Q13162	PRDX4	161 / 411	2.8	30
P46109	CRKL	33 / 411	7.7	25
P07355	ANXA2	150 / 411	7.8	54
A6NMY6	Invalid identifier / gene not available			
Q9GZT3	SLIRP	53 / 411	2	7
P62249	RPS16	211 / 411	5.9	42
P14678	SNRPB	170 / 411	11.2	196
Q8TD57	DNAH3	2 / 411	1	1
Q58FF7	Invalid identifier / gene not available			
Q9Y2R5	MRPS17	11 / 411	1.3	2
Q58FG0	Invalid identifier / gene not available			
P98077	Invalid identifier / gene not available			
Q99611	Invalid identifier / gene not available			
P11802	CDK4	27 / 411	2.4	28
P08779	KRT16	274 / 411	21.4	243
Q9NS86	LANCL2	9 / 411	2	5
P61978	HNRNPK	288 / 411	16.3	143
Q15366	PCBP2	189 / 411	6.5	53
Q13191	Invalid identifier / gene not available			
Q4G0P3	Invalid identifier / gene not available			
Q6P1M0	SLC27A4	2 / 411	1	1
P51648	ALDH3A2	29 / 411	2.3	12
P13646	KRT13	235 / 411	11.2	126
Q8IXB1	DNAJC10	26 / 411	9.7	46
P04350	TUBB4A	366 / 411	22.5	248
P62269	RPS18	229 / 411	5.8	40
P62829	RPL23	243 / 411	5.7	48
P10809	HSPD1	231 / 411	17.9	165
Q14116	IL18	2 / 411	1	1
Q5T9A4	ATAD3B	59 / 411	4.8	42
Q9NVI7	ATAD3A	87 / 411	5.9	75
Q5T2N8	ATAD3C	47 / 411	3.9	28
P08727	KRT19	247 / 411	10.3	151
P05783	KRT18	238 / 411	12.3	311
P0CG39	Invalid identifier / gene not available			
O43196	MSH5	1 / 411	1	1
P63173	RPL38	139 / 411	9	58
Q6URK8	Invalid identifier / gene not available			
Q99456	KRT12	69 / 411	3.4	19
P19012	KRT15	238 / 411	10	102
Q04695	KRT17	248 / 411	14.9	121
A6NNZ2	Invalid identifier / gene not available			
Q3ZCM7	TUBB8	322 / 411	12	155
Q9H4B7	TUBB1	291 / 411	6.8	62
Q9NP72	RAB18	12 / 411	1.6	4
Q86SQ7	Invalid identifier / gene not available			
Q2M243	Invalid identifier / gene not available			
Q96K76	USP47	1 / 411	1	1
Q15165	PON2	4 / 411	1.5	2
Q9BYK8	HELZ2	6 / 411	2.7	10
Q16543	CDC37	80 / 411	3.4	22
Q8WXH0	SYNE2	10 / 411	5.5	43
Q9UJM3	Invalid identifier / gene not available			
O00461	GOLIM4	5 / 411	1.4	2
Q05655	Invalid identifier / gene not available			
A1L190	Invalid identifier / gene not available			
P16144	Invalid identifier / gene not available			
O95816	BAG2	96 / 411	2.9	20
Q99623	PHB2	95 / 411	5.9	47
Q5JWF2	GNAS	55 / 411	3.2	26
P63092	GNAS	55 / 411	3.2	26
P38405	GNAL	38 / 411	1.6	8
P04899	GNAI2	50 / 411	3.9	25
A8MTJ3	GNAT3	41 / 411	1.8	11
P08754	GNAI3	53 / 411	4.1	40
P09471	GNAO1	42 / 411	1.6	13
P19087	GNAT2	41 / 411	1.8	11
P63096	GNAI1	48 / 411	3.1	26
P11488	GNAT1	41 / 411	1.8	11
Q92569	PIK3R3	4 / 411	1.3	2
Q8NF37	LPCAT1	7 / 411	1.4	4
Q6Y7W6	GIGYF2	45 / 411	20.5	87
P49757	NUMB	11 / 411	1.5	3
Q9Y6R0	NUMBL	12 / 411	1.9	4
P37235	Invalid identifier / gene not available			
P61601	Invalid identifier / gene not available			
P84074	Invalid identifier / gene not available			
Q53GA4	PHLDA2	1 / 411	1	1
Q63ZY3	KANK2	21 / 411	6	15
Q6PIJ6	Invalid identifier / gene not available			
Q15257	PPP2R4	6 / 411	1.3	2
Q96BR5	SELRC1	3 / 411	1.3	2
P14923	JUP	109 / 411	7.7	46
P35222	CTNNB1	30 / 411	3.3	26
Q8IV45	Invalid identifier / gene not available			
Q86VU5	COMTD1	1 / 411	1	1
Q9C0F3	Invalid identifier / gene not available			
Q69YG0	Invalid identifier / gene not available			
O94808	GFPT2	5 / 411	1.8	4
Q03989	Invalid identifier / gene not available			
P30825	SLC7A1	1 / 411	1	1
Q9NU02	ANKEF1	2 / 411	1	1
Q9UBF8	PI4KB	1 / 411	2	2
Q9BWG4	Invalid identifier / gene not available			
Q9Y6F6	Invalid identifier / gene not available			
Q96JB1	DNAH8	3 / 411	26.3	77
P06702	S100A9	60 / 411	3.9	13
Q99575	POP1	40 / 411	2.1	7
Q9H069	LRRC48	1 / 411	2	2
P60953	CDC42	80 / 411	2.7	9
Q03001	DST	27 / 411	4	15
Q9UPN3	MACF1	39 / 411	4.9	29
Q5VZP5	Invalid identifier / gene not available			
A6NCF5	Invalid identifier / gene not available			
A6NMZ7	COL6A6	2 / 411	1	1
P35498	Invalid identifier / gene not available			
Q9BWN1	PRR14	1 / 411	1	1
Q8IWK6	Invalid identifier / gene not available			
P27986	PIK3R1	5 / 411	3.2	9
Q6NUN0	ACSM5	1 / 411	1	1
P68871	HBB	56 / 411	2.1	9
Q8WV24	Invalid identifier / gene not available			
Q9HCY8	S100A14	13 / 411	2.2	9
Q6PKX4	Invalid identifier / gene not available			
O15440	ABCC5	1 / 411	3	3
O75592	MYCBP2	6 / 411	3.2	14
P61626	LYZ	58 / 411	3	19
P11274	BCR	10 / 411	1.4	3
Q12979	ABR	10 / 411	3.3	9
Q8IW35	CEP97	1 / 411	1	1
Q5D862	FLG2	87 / 411	5.4	35
P49368	CCT3	165 / 411	15.1	114
Q53GQ0	HSD17B12	27 / 411	1.9	7
P25705	ATP5A1	210 / 411	11	83
Q15084	PDIA6	129 / 411	6.7	52
E9PKD4	Invalid identifier / gene not available			
Q13946	Invalid identifier / gene not available			
P25205	MCM3	120 / 411	6.6	63
Q9Y4H2	IRS2	4 / 411	1.3	2
P62266	RPS23	160 / 411	4.7	28
Q6ZU80	CEP128	4 / 411	3.8	9
Q92859	Invalid identifier / gene not available			
P62805	HIST4H4	225 / 411	13.6	316
P13639	EEF2	207 / 411	14.5	219
Q58FF6	Invalid identifier / gene not available			
Q8WXI4	Invalid identifier / gene not available			
P35030	PRSS3	61 / 411	3.6	38
Q15303	Invalid identifier / gene not available			
Q8NF91	SYNE1	10 / 411	1.2	2
Q3BBV2	Invalid identifier / gene not available			
Q86T75	NBPF11	1 / 411	4	4
Q7Z3Y9	KRT26	194 / 411	6.4	92
P02042	HBD	44 / 411	1.7	5
Q9H0C2	SLC25A31	176 / 411	2.8	13
P15924	DSP	126 / 411	19.4	237
